m_id,m_title,m_year,m_maturity,m_runtime,m_genre,m_synopsis,m_lead_cast,m_genres,m_mood,m_audio,m_subtitles,m_cast
81416533,Heart of Stone,2023.0,U/A 13+ ,2h 5m,Action,An intelligence operative for a shadowy global peacekeeping agency races to stop a hacker from stealing its most valuable — and dangerous — weapon.,"Gal Gadot,Jamie Dornan,Alia Bhatt","['Dramas', 'Action & Adventure Movies', 'Spy Movies', 'US Movies']",['Adrenaline Rush'],"['English - Audio Description,', 'English [Original],', 'Hindi - Audio Description,', 'Hindi,', 'Kannada,', 'Tamil,', 'Telugu']",['English'],"['Gal Gadot', 'Jamie Dornan', 'Alia Bhatt', 'Sophie Okonedo', 'Matthias Schweighöfer', 'Paul Ready', 'Jing Lusi', 'BD Wong']"
80210920,The Mother,2023.0,U/A 16+ ,1h 57m,Action,A military-trained assassin comes out of hiding to protect the daughter she's never met from ruthless criminals gunning for revenge.,"Jennifer Lopez,Joseph Fiennes,Gael García Bernal","['Dramas', 'Action & Adventure Movies', 'US Movies']","['Gritty,', 'Understated,', 'Suspenseful']","['English - Audio Description,', 'English [Original],', 'Hindi - Audio Description,', 'Hindi,', 'Tamil,', 'Telugu']",['English'],"['Jennifer Lopez', 'Joseph Fiennes', 'Gael García Bernal', 'Lucy Paez', 'Omari Hardwick', 'Paul Raci', 'Jesse Garcia', 'Yvonne Senat Jones', 'Edie Falco']"
81161626,Red Notice,2021.0,U/A 13+ ,1h 58m,Action,An FBI profiler pursuing the world's most wanted art thief becomes his reluctant partner in crime to catch an elusive crook who's always one step ahead.,"Dwayne Johnson,Ryan Reynolds,Gal Gadot","['Crime Movies', 'Comedy Movies', 'Action & Adventure Movies', 'US Movies']",['Exciting'],"['English - Audio Description,', 'English [Original],', 'Hindi,', 'Tamil,', 'Telugu']",['English'],"['Dwayne Johnson', 'Ryan Reynolds', 'Gal Gadot', 'Ritu Arya', 'Chris Diamantopoulos']"
80230399,Extraction,2020.0,A ,1h 58m,Action,A hardened gun-for-hire's latest mission becomes a soul-searching race to survive when he's sent into Bangladesh to rescue a drug lord's kidnapped son.,"Chris Hemsworth,Rudhraksh Jaiswal,Randeep Hooda","['Movies Based on Books', 'Action & Adventure Movies', 'US Movies']","['Violent,', 'Gritty']","['English - Audio Description,', 'English [Original],', 'Hindi - Audio Description,', 'Hindi,', 'Tamil,', 'Telugu']",['English'],"['Chris Hemsworth', 'Rudhraksh Jaiswal', 'Randeep Hooda', 'Golshifteh Farahani', 'Pankaj Tripathi', 'David Harbour']"
81098494,Extraction 2,2023.0,A ,2h 3m,Action,"Back from the brink of death, highly skilled commando Tyler Rake takes on another dangerous mission: saving the imprisoned family of a ruthless gangster.","Chris Hemsworth,Golshifteh Farahani,Tornike Gogrichiani","['Action & Adventure Movies', 'US Movies']","['Violent,', 'Gritty']","['English - Audio Description,', 'English [Original],', 'Hindi - Audio Description,', 'Hindi,', 'Tamil,', 'Telugu']",['English'],"['Chris Hemsworth', 'Golshifteh Farahani', 'Tornike Gogrichiani', 'Adam Bessa', 'Daniel Bernhardt', 'Tinatin Dalakishvili']"
81322579,Hidden Strike,2023.0,U/A 13+ ,1h 43m,Action,Two elite soldiers must escort civilians through a gauntlet of gunfire and explosions in this film starring Jackie Chan and John Cena.,"Jackie Chan,John Cena,Pilou Asbæk","['Action & Adventure Movies', 'US Movies']",['Exciting'],"['English - Audio Description,', 'English [Original]']",['English'],"['Jackie Chan', 'John Cena', 'Pilou Asbæk', 'Amadeus Serafini', 'Chunrui Ma', 'Jiang Wenli', 'Xu Jia', 'Gong Jun', 'Ruima Xidan', 'Neo Hou']"
81160697,The Gray Man,2022.0,U/A 16+ ,2h 9m,Action,"When a shadowy CIA agent uncovers damning agency secrets, he’s hunted across the globe by a sociopathic rogue operative who’s put a bounty on his head.","Ryan Gosling,Chris Evans,Ana de Armas","['Movies Based on Books', 'Action & Adventure Movies', 'US Movies']",[],"['English - Audio Description,', 'English [Original],', 'Hindi,', 'Kannada,', 'Tamil,', 'Telugu']",['English'],"['Ryan Gosling', 'Chris Evans', 'Ana de Armas', 'Jessica Henwick', 'Regé-Jean Page', 'Wagner Moura', 'Julia Butters', 'Dhanush', 'Alfre Woodard', 'Billy Bob Thornton']"
81520516,65,2023.0,U/A 16+ ,1h 32m,Sci-Fi,"After surviving a crash landing, an astronaut and his passenger must outlast the perils of prehistoric Earth to reach their only hope for escape.","Adam Driver,Ariana Greenblatt,Chloe Coleman","['Sci-Fi Movies', 'Action & Adventure Movies', 'US Movies']","['Suspenseful,', 'Exciting']","['English - Audio Description,', 'English [Original],', 'Hindi']","['English,', 'Hindi']","['Adam Driver', 'Ariana Greenblatt', 'Chloe Coleman', 'Nika King']"
81038963,The Old Guard,2020.0,A ,2h 5m,Action,Four undying warriors who've secretly protected humanity for centuries become targeted for their mysterious powers just as they discover a new immortal.,"Charlize Theron,KiKi Layne,Marwan Kenzari","['Movies Based on Books', 'Action & Adventure Movies', 'US Movies']","['Gritty,', 'Exciting']","['English - Audio Description,', 'English [Original],', 'Hindi']",['English'],"['Charlize Theron', 'KiKi Layne', 'Marwan Kenzari', 'Luca Marinelli', 'Harry Melling', 'Van Veronica Ngo', 'Matthias Schoenaerts', 'Chiwetel Ejiofor']"
81198930,Tenet,2020.0,U/A 13+ ,2h 30m,Sci-Fi,An undercover agent must retrieve a mysterious and powerful weapon in order to stop a temporal war that could destroy the world.,"John David Washington,Robert Pattinson,Elizabeth Debicki","['Sci-Fi Movies', 'Action & Adventure Movies', 'Spy Movies']","['Mind-Bending,', 'Cerebral']","['English [Original],', 'Hindi']",['English'],"['John David Washington', 'Robert Pattinson', 'Elizabeth Debicki', 'Kenneth Branagh', 'Dimple Kapadia', 'Michael Caine']"
